species_id,phylum_lat,class_lat,order_lat,family_lat,taxon_lat_original,taxon_lat,genus_lat,nativeness_hu,Maximum magasság,Életforma,Szociális magatartási típus,Flóraelem besorolás,invasion_status_hu,Terjedési stratégia,Virágzás kezdete,Virágzás időtartama,WZ,WB,FS,ELLF,RZ,LB,ELLS,NS,NB,ELLN
1,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies alba Mill.,Abies alba,Abies,rejtett honosságú,3500,MM,C,CEU,meghonosodott faj,Epilobium,5,2,4,6,3,,3,3,0,0,6,
2,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies cephalonica Loudon,Abies cephalonica,Abies,idegenhonos,3000,MM,,,alkalmi faj,Epilobium,5,2,,,,,,,,,,
3,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies concolor (Gordon) Hildebr.,Abies concolor,Abies,idegenhonos,2000,MM,,,alkalmi faj,Epilobium,5,2,,,,,,,,,,
4,Pinophyta,Pinopsida,Pinales,Pinaceae,Abies nordmanniana (Steven) Spach,Abies nordmanniana,Abies,idegenhonos,3000,MM,,,alkalmi faj,Epilobium,5,2,,,,,,,,,,
5,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Abutilon theophrasti Medik.,Abutilon theophrasti,Abutilon,idegenhonos,150,Th,W,SME,özönfaj,Allium,7,3,6,4,2,,4,7,,2,4,
6,Angiospermae,Magnoliopsida,Lamiales,Acanthaceae,Acanthus balcanicus Heywood et I. Richardson,Acanthus balcanicus,Acanthus,idegenhonos,100,He,,,alkalmi faj,Zea,6,2,,,,,,,,,,
7,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Acer campestre L.,Acer campestre,Acer,őshonos,3000,MM,G,EUR,,Epilobium,4,2,4,5,2-3,5,4,5,0,2-3,5,6
8,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Acer negundo L.,Acer negundo,Acer,idegenhonos,2000,MM,AC,ADV,meghonosodott faj,Epilobium,3,2,5,6,3-4,6,4,5,0,2-3,7,7
9,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Acer opalus Mill. subsp. obtusatum (Waldst. et Kit. ex Willd.) Gams,Acer opalus,Acer,idegenhonos,,,,,alkalmi faj,Epilobium,,,,,,4,,,0,,,6
10,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Acer platanoides L.,Acer platanoides,Acer,őshonos,4000,MM,G,CEU,,Epilobium,3,2,5,6,3,,3,5,0,3-4,6,
11,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Acer pseudoplatanus L.,Acer pseudoplatanus,Acer,őshonos,4000,MM,S,CEU,,Epilobium,5,2,6,6,3,6,3,4,0,3-4,7,7
12,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Acer saccharinum L.,Acer saccharinum,Acer,idegenhonos,3000,MM,,,meghonosodott faj,Epilobium,2,2,,,,,,,,,,
13,Angiospermae,Magnoliopsida,Sapindales,Sapindaceae,Acer tataricum L.,Acer tataricum,Acer,őshonos,1000,M-MM,S,PoP,,Epilobium,5,2,4,4,2,,4,5,,1,4,
14,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea asplenifolia Vent.,Achillea asplenifolia,Achillea,őshonos,50,He,DT,PAN,,Allium,6,4,7,6,3,,4,8,,1,3,
15,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea collina Becker ex Rchb.,Achillea collina,Achillea,őshonos,60,He,DT,CON,,Allium,6,5,2,2,2,2,0,9,0,1-2,2,2
16,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea crithmifolia Waldst. et Kit.,Achillea crithmifolia,Achillea,őshonos,40,He,G,PaB,,Allium,6,2,2,4,2-3,,4,8,,1-2,3,
17,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea distans Waldst. et Kit. ex Willd.,Achillea distans,Achillea,őshonos,60,He,G,CEA,,Allium,6,2,3,4,2-3,,4,7,,2,4,
18,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea horanszkyi Ujhelyi,Achillea horanszkyi,Achillea,őshonos,35,He(Ch),Su,END,,Allium,5,2,,2,,,,8,,,1,
19,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium L.,Achillea millefolium,Achillea,őshonos,70,He,DT,KOZ,,Allium,5,6,5,6,2-3,4,0,8,1,2-3,5,5
20,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea nobilis L.,Achillea nobilis,Achillea,őshonos,45,He,G,EUA,,Allium,6,1,2,3,2-3,4,4,8,0,1,1,1
21,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea ochroleuca Ehrh.,Achillea ochroleuca,Achillea,őshonos,30,He,S,PoP,,Allium,5,3,2,2,2,,4,9,,1,1,
22,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea pannonica Scheele,Achillea pannonica,Achillea,őshonos,60,He,DT,PON,,Allium,5,4,2,4,2,3,4,8,0,1-2,2,2
23,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Achillea pratensis Saukel et R. Länger,Achillea pratensis,Achillea,őshonos,50,He,,,,Allium,5,7,,,,,,,,,,
